ID(control name),Name(control content),BoundingRectangle(control pixel)
Login,Login,380
TitleBar,Login,364
SystemMenuBar,系统菜单栏,-∞
Item 1,系统,-∞
Close,关闭,21
SensitiveInfo,,-∞
Password_PWD,Password,54
txtPassword,,150
User_Login,Login,103
,Login,32
Config_Cancel,Cancel,102
,Cancel,38
ID(control name),Name(control content),BoundingRectangle(control pixel)
Config_Tool,Config Tool,900
TitleBar,Config Tool,884
SystemMenuBar,系统菜单栏,22
Item 1,系统,22
Minimize,最小化,47
Maximize,最大化,46
Close,关闭,47
tabControl,,884
LicenseTab,License,58
,License,42
,,878
License_State,License Status,85
txblicenseStatu,,34
btnLicenseBrowse,Browse...,80
,Browse...,50
License_LocalHID,Hardware ID,76
License_AdditionInfo,Additional Information,878
,Additional Information,131
License_SN,SN,17
License_MaxDeviceLimit,Maximum Devices,111
License_User,Licensed User,83
License_Contact,Contact,47
License_Remarks,Other,35
DevTab,Device Management,131
,Device Management,119
PatientTab,Patient Information Management,204
,Patient Information Management,192
LogTab,Log Manage,83
,Log Manage,71
ConfigSetTab,Configuration Management,172
,Configuration Management,160
AboutTab,About,48
,About,36
Config_GWState,Gateway Status ,92
StateText,Running,80
Config_RunTime,Running Time,80
UpdateTime,04:38:05,80
Config_RestartGW,Restart Gateway,115
,Restart Gateway,93
ID(control name),Name(control content),BoundingRectangle(control pixel)
Config_Tool,Config Tool,900
TitleBar,Config Tool,884
SystemMenuBar,系统菜单栏,22
Item 1,系统,22
Minimize,最小化,47
Maximize,最大化,46
Close,关闭,47
tabControl,,884
LicenseTab,License,54
,License,42
DevTab,Device Management,131
,Device Management,119
PatientTab,Patient Information Management,204
,Patient Information Management,192
LogTab,Log Manage,83
,Log Manage,71
ConfigSetTab,Configuration Management,176
,Configuration Management,160
TabConfig,,878
Config_Network,Network Configuration,148
,Network Configuration,132
,,872
scroll,,872
MyLocal,Local Listen,872
,Local Listen,67
tbListenIp,IP,11
LocalListenIp,,120
,Device Query Listen,200
QueryMonitor,Device Query Listen,134
tbPort,Port,24
TBQueryMonitor,,50
,ADT Listen,200
CHBADT,ADT Listen,82
tbADTport,Port,24
TBADT,,50
GbDeviceAccess,Device Access Type,129
,Device Access Type,111
DeviceSwitch,Monitor,67
,Monitor,47
DcsSwitch,CMS,67
,CMS,27
Network_EMRList,Inbound Server IP,318
,Inbound Server IP,103
MyFilterList,,110
,127.0.0.1,106
tbEmrList,IP,11
EMRIP,,100
btAdd,Add,80
,Add,23
btndelete,Delete,80
,Delete,37
MyRemote,Channel Config,872
,Channel Config,88
GBcType,Connection Type,850
Network_ConnectType,Connection Type,97
TCPConnect,TCP Connection,92
ConnectType,,120
scrollgrid,,850
DataGridChannel,,850
PART_ColumnHeadersPresenter,,848
,Channel,100
,IP,109
,Port,59
,Timeout,100
,Interval,95
,Test,165
,Gateway.Entity.Composition.ConfigData,848
PART_BottomHeaderGripper,,-∞
